space_key,svg_present,svg_id,svg_tag,svg_data_name,building_label,floor_code,display_label,published_status,bookwhen_url,space_type,capacity,color_code,ada_note,legacy_notes,review_status
1,yes,_1,g,1,Dream Tent,L1,Booth 1,Published,https://bookwhen.com/voidtattoofest/e/ev-sl980-20260522000000,STD10TENT,2,Light Blue,ADA accessible path near tent,,matched
103,yes,_103,rect,103,Jupiter Original,L1,Room 103,No Listing,,SDL,2,void use,ADA accessible,not visible,matched
104,yes,_104,rect,104,Jupiter Original,L1,Room 104,No Listing,,LDL,4,void use,ADA accessible,not visible,matched
105,yes,_105,rect,105,Jupiter Original,L1,Room 105,No Listing,,SDL,2,void use,ADA accessible,not visible,matched
106,yes,_106,rect,106,Jupiter Original,L1,Room 106,No Listing,,LDL,4,void use,ADA accessible,not visible,matched
107,yes,_107,rect,107,Jupiter Original,L1,Room 107,No Listing,,SDL,2,void use,ADA accessible,not visible,matched
108,yes,_108,rect,108,Jupiter Original,L1,Room 108,Published,https://bookwhen.com/voidtattoofest/e/ev-s2tk6-20260522000000,XLDL,8,Lavender,ADA accessible,XL,matched
112,yes,_112,rect,112,Jupiter Original,L1,Room 112,Published,https://bookwhen.com/voidtattoofest/e/ev-srtlw-20260522000000,LDL,4,Lavender,ADA accessible,,matched
113,yes,_113,rect,113,Jupiter Original,L1,Room 113,Published,https://bookwhen.com/voidtattoofest/e/ev-s37cv-20260522000000,SDL,2,Green,ADA accessible,,matched
114,yes,_114,rect,114,Jupiter Original,L1,Room 114,Published,https://bookwhen.com/voidtattoofest/e/ev-sgc6c-20260522000000,LDL,4,Lavender,ADA accessible,,matched
115,yes,_115,rect,115,Jupiter Original,L1,Room 115,Published,https://bookwhen.com/voidtattoofest/e/ev-s20sf-20260522000000,SDL,2,Green,ADA accessible,,matched
116,yes,_116,rect,116,Jupiter Original,L1,Room 116,Published,https://bookwhen.com/voidtattoofest/e/ev-sz1n1-20260522000000,LDL,4,Lavender,ADA accessible,,matched
117,yes,_117,rect,117,Jupiter Original,L1,Room 117,Unpublished,,XSDL,,sleeproom,ADA accessible,Opener Queen,matched
118,yes,_118,rect,118,Jupiter Original,L1,Room 118,Published,https://bookwhen.com/voidtattoofest/e/ev-sk33q-20260522000000,sdl,2,Pink,ADA accessible,,matched
119,yes,_119,rect,119,Jupiter Original,L1,Room 119,Published,https://bookwhen.com/voidtattoofest/e/ev-swhph-20260522000000,MDL,3,Pink,ADA accessible,,matched
120,yes,_120,rect,120,Jupiter Original,L1,Room 120,Published,https://bookwhen.com/voidtattoofest/e/ev-sle5z-20260522000000,LDL,4,Lavender,ADA accessible,,matched
121,yes,_121,rect,121,Jupiter Original,L1,Room 121,Published,https://bookwhen.com/voidtattoofest/e/ev-s5o4x-20260522000000,MDL,3,Pink,ADA accessible,,matched
122,yes,_122,rect,122,Jupiter Original,L1,Room 122,Published,https://bookwhen.com/voidtattoofest/e/ev-sdgh0-20260522000000,MDL,3,Pink,ADA accessible,,matched
123,yes,_123,rect,123,Jupiter Original,L1,Room 123,Published,https://bookwhen.com/voidtattoofest/e/ev-s1hs9-20260522000000,MDL,3,Pink,ADA accessible,,matched
124,yes,_124,rect,124,Jupiter Original,L1,Room 124,Published,https://bookwhen.com/voidtattoofest/e/ev-sh00r-20260522000000,MDL,3,Pink,ADA accessible,,matched
126,yes,_126,rect,126,Jupiter Original,L1,Room 126,Published,https://bookwhen.com/voidtattoofest/e/ev-szf9q-20260522000000,MDL,3,Pink,ADA accessible,,matched
127,yes,_127,rect,127,Jupiter Original,L1,Room 127,Published,https://bookwhen.com/voidtattoofest/e/ev-szf9q-20260522000000,MDL,3,Pink,ADA accessible,,matched
128,yes,_128,rect,128,Jupiter Original,L1,Room 128,Published,https://bookwhen.com/voidtattoofest/e/ev-swc3i-20260522000000,MDL,3,Pink,ADA accessible,,matched
129,yes,_129,rect,129,Jupiter Original,L1,Room 129,Published,https://bookwhen.com/voidtattoofest/e/ev-s6p3e-20260522000000,MDL,3,Pink,ADA accessible,,matched
131,yes,_131,rect,131,Jupiter Original,L1,Room 131,Published,https://bookwhen.com/voidtattoofest/e/ev-s9dbf-20260522000000,SDL,2,Green,ADA accessible,,matched
132,yes,_132,rect,132,Jupiter Original,L1,Room 132,Published,https://bookwhen.com/voidtattoofest/e/ev-sx2ce-20260522000000,MDL,3,Pink,ADA accessible,,matched
133,yes,_133,rect,133,Jupiter Original,L1,Room 133,Published,https://bookwhen.com/voidtattoofest/e/ev-spvj8-20260522000000,SDL,2,Green,ADA accessible,,matched
134,yes,_134,rect,134,Jupiter Original,L1,Room 134,Published,https://bookwhen.com/voidtattoofest/e/ev-s2aq1-20260522000000,LDL,4,Lavender,ADA accessible,,matched
135,yes,_135,rect,135,Jupiter Original,L1,Room 135,Published,https://bookwhen.com/voidtattoofest/e/ev-s514w-20260522000000,SDL,2,Green,ADA accessible,,matched
136,yes,_136,rect,136,Jupiter Original,L1,Room 136,Published,https://bookwhen.com/voidtattoofest/e/ev-swzrc-20260522000000,LDL,4,Lavender,ADA accessible,,matched
137,yes,_137,rect,137,Jupiter Original,L1,Room 137,Published,https://bookwhen.com/voidtattoofest/e/ev-s0ywg-20260522000000,SDL,2,Green,ADA accessible,,matched
138,yes,_138,rect,138,Jupiter Original,L1,Room 138,Published,https://bookwhen.com/voidtattoofest/e/ev-sxs6o-20260522000000,LDL,4,Lavender,ADA accessible,,matched
139,yes,_139,rect,139,Jupiter Original,L1,Room 139,No Listing,,SDL,0,void use,ADA accessible,Green Room,matched
140,yes,_140,rect,140,Jupiter Original,L1,Room 140,No Listing,,LDL,0,void use,ADA accessible,Storage,matched
2,yes,_2,g,2,Dream Tent,L1,Booth 2,Published,https://bookwhen.com/voidtattoofest/e/ev-sboxn-20260522000000,STD10TENT,2,Light Blue,ADA accessible path near tent,,matched
202,yes,_202,rect,202,Jupiter Original,L2,Room 202,Published,https://bookwhen.com/voidtattoofest/e/ev-s6y6g-20260521000000,LDL,,sleeproom,Not ADA,Entourage Double,matched
203,yes,_203,rect,203,Jupiter Original,L2,Room 203,Published,https://bookwhen.com/voidtattoofest/e/ev-smbun-20260521000000,SDL,,sleeproom,Not ADA,Opener Queen,matched
204,yes,_204,rect,204,Jupiter Original,L2,Room 204,Unpublished,,LDL,,sleeproom,Not ADA,Entourage Double,matched
205,yes,_205,rect,205,Jupiter Original,L2,Room 205,Unpublished,,SDL,,sleeproom,Not ADA,Opener Queen,matched
206,yes,_206,rect,206,Jupiter Original,L2,Room 206,Unpublished,,LDL,,sleeproom,Not ADA,Entourage Double,matched
